Id,Account_status,Salary,Internal_PD,External_PD,Loan_amount,Profit,Banking_with_bank,Months_on_book,External_utilisation,Internal_utilisation,Spend_percentage,Probability,Profit_score
15888,In_order,119040.0,0.0081610446137105,0.2840909090909091,21200.0,6.44,0,95.0,0.3687242268041237,0.308703,0.103337,0.695963398486602,7.0
15892,In_order,311724.0,0.1316648531011969,0.2840909090909091,22000.0,-42.19,1,75.0,0.2913878143133462,0.961875,0.186831,0.4811582756873795,5.0
15896,In_arrears,540000.0,0.1164309031556039,0.1875,16400.0,-102.67,0,211.0,0.0875363196125908,0.320802,0.056236,0.7283020786687067,8.0
15899,In_order,84816.0,0.0625680087051142,0.5397727272727273,10000.0,43.97,1,22.0,0.8595145631067961,0.967878,0.146508,0.4022372399288424,5.0
15907,In_order,1003056.0,0.309031556039173,0.2784090909090909,56000.0,884.2,0,253.0,0.4196367914876202,0.726986,0.099688,0.5116936028977882,6.0
15917,In_order,180000.0,0.8351468988030468,0.375,13500.0,-1118.71,1,24.0,0.8426057142857143,0.888733,0.079844,0.4632964131743491,5.0
15918,In_order,144000.0,0.3411316648531012,0.375,32000.0,-499.0,1,50.0,1.015452579548965,0.957534,0.046935,0.3724107560727159,4.0
15919,In_order,190248.0,0.2791077257889009,0.7386363636363636,2500.0,-665.37,0,67.0,0.0672080088987764,0.799101,0.658052,0.336305892356168,4.0
15926,In_order,341028.0,0.1430903155603917,0.3863636363636363,80000.0,159.08,1,27.0,0.6179097744360902,0.822056,0.230247,0.4159798206067422,5.0
15928,In_order,600000.0,0.0620239390642002,0.4886363636363636,82400.0,749.14,0,172.0,1.0316125681641133,0.692784,0.101447,0.4535384772073367,5.0
15940,In_order,150000.0,0.3411316648531012,0.3920454545454545,40000.0,5389.72,1,144.0,0.1556655629139073,0.828784,0.007705,0.5734808038379448,6.0
15942,In_order,108228.0,0.4347116430903155,0.5113636363636364,11100.0,-419.37,1,27.0,0.8060824742268041,0.866802,0.373358,0.4919209646030326,5.0
15952,In_order,109200.0,0.0125136017410228,0.3636363636363636,8500.0,235.55,1,35.0,1.0232017543859648,0.892008,0.720248,0.6439263650429193,7.0
15960,In_order,356916.0,0.2410228509249183,0.5,37500.0,-394.1,1,17.0,0.7968281718281718,0.5089,0.062413,0.2245928308151413,3.0
15962,In_order,121608.0,0.1964091403699673,0.3352272727272727,30000.0,385.15,0,128.0,0.7462258883248731,0.895733,0.071356,0.435390413787409,5.0
15972,In_order,238356.0,0.1131664853101196,0.2670454545454545,30000.0,208.47,1,59.0,0.3440866141732283,0.883507,0.153859,0.4366066132707419,5.0
15979,In_order,891648.0,0.0195865070729053,0.3806818181818182,5800.0,20.84,1,20.0,0.1316804029304029,0.742142,0.061445,0.3240580474454296,4.0
15981,In_order,345048.0,0.162132752992383,0.3295454545454545,33000.0,-321.42,1,74.0,0.6637687773340939,0.63094,0.010839,0.2933926548729307,3.0
15987,In_order,400008.0,0.0375408052230685,0.3465909090909091,8000.0,517.86,0,173.0,0.2506677999028655,0.996932,0.036451,0.5514519894344776,6.0
15997,In_order,495744.0,0.1458106637649618,0.1420454545454545,5000.0,-194.81,0,236.0,0.4682508974870363,0.685868,0.088394,0.5184830644929226,6.0
16010,In_order,192000.0,0.0310119695321001,0.5681818181818182,43800.0,-138.65,1,135.0,0.2908058409951325,0.473311,0.083214,0.3723118335087714,4.0
16012,In_order,360000.0,0.0418933623503808,0.9545454545454546,3000.0,12.58,1,26.0,0.5998799435028248,0.938184,1.336532,0.6671925105419636,7.0
16015,In_order,151200.0,0.1284004352557127,0.2386363636363636,17000.0,104.23,1,47.0,0.986629213483146,0.426171,0.127644,0.5705408751905059,6.0
16021,In_order,322680.0,0.0081610446137105,0.1647727272727272,43000.0,-132.1,1,85.0,0.413784972022382,0.984778,0.478101,0.4403706119018526,5.0
16026,In_order,552000.0,0.1131664853101196,0.6306818181818182,10000.0,53.73,0,27.0,0.146419209039548,0.893865,0.209521,0.5406613755918624,6.0
16030,In_order,148800.0,0.0081610446137105,0.1193181818181818,71100.0,-66.24,1,109.0,0.2351584251430523,0.672108,0.867352,0.3098081143781317,4.0
16034,In_order,402000.0,0.0859630032644178,0.1988636363636363,40000.0,-968.66,1,85.0,0.8427407111466241,0.636961,0.052846,0.4690157583807721,5.0
16039,In_order,653172.0,0.1164309031556039,0.1477272727272727,40000.0,-35.86,0,159.0,0.2840215053763441,0.884621,0.140414,0.433531039016011,5.0
16043,In_order,392112.0,0.0571273122959738,0.0738636363636363,20000.0,35.44,1,13.0,0.0611874825370215,0.141553,0.070187,0.7843543743394485,8.0
16047,In_order,216000.0,0.0620239390642002,0.2897727272727273,36000.0,41.91,0,156.0,0.2578095238095238,0.075899,0.019738,0.7500560370819586,8.0
16049,In_order,166800.0,0.0,0.4090909090909091,11700.0,82.57,1,23.0,0.3562100456621004,0.926651,0.396314,0.4013893227248151,5.0
16051,In_order,2981988.0,0.1164309031556039,0.2784090909090909,40000.0,100.95,1,192.0,0.4826889134031991,0.684086,0.107907,0.2853217786209793,3.0
